date,low,high,open,close,volume
2014-12-01 00:00:00,300,370,300,370,0.05655554
2014-12-02 00:00:00,377,378,377,378,15.0136
2014-12-03 00:00:00,377.01,378,377.9,378,0.54660842
2014-12-04 00:00:00,377.1,377.1,377.1,377.1,0.01
2014-12-06 00:00:00,378,378,378,378,0.015
2014-12-08 00:00:00,375,375.01,375.01,375,0.235
2014-12-10 00:00:00,360.5,398,398,360.5,0.02
2014-12-12 00:00:00,350,379,379,350,3.15
2014-12-18 00:00:00,340,345,345,340,2
2015-01-08 00:00:00,264.81,360,360,288.99,10.35
2015-01-13 00:00:00,260,260,260,260,1
2015-01-14 00:00:00,109.87,221,200,120,11.30463778
2015-01-15 00:00:00,150,224,191.99,204.22,2.97732076
2015-01-16 00:00:00,189,225.5,210.98,199.46,4.6899999999999
2015-01-17 00:00:00,184,210,210,184,0.112
2015-01-19 00:00:00,210,225.51,210,225.51,0.41
2015-01-20 00:00:00,208,218,215,218,0.04
2015-01-21 00:00:00,219,225.51,219,225.51,0.13770722
2015-01-22 00:00:00,216.59,257.73,245.5,226.32,4.36
2015-01-23 00:00:00,215,235,230,235,0.180001
2015-01-24 00:00:00,215,250.58,215,240,1.74
2015-01-25 00:00:00,245.32,256.26,248.02,254.53,478.75554094
2015-01-26 00:00:00,241.43,322.72,262.78,274.48,5180.31879404
2015-01-27 00:00:00,244.03,278.47,274.73,263.65,1630.21176553
2015-01-28 00:00:00,228.5,265.99,263.96,236.09,5339.7841370601
2015-01-29 00:00:00,221.14,242,235.89,235.03,6637.4043479001
2015-01-30 00:00:00,227.89,244.59,235,229.07,5774.2956521901
2015-01-31 00:00:00,217.11,234.67,229,218.45,5595.5773907902
2015-02-01 00:00:00,210,233.79,218.67,228.99,7233.4747219507
2015-02-02 00:00:00,220.89,240.1,228.39,237.83,7451.634216181
2015-02-03 00:00:00,225.32,243.9,237.01,228.58,8321.9429886407
2015-02-04 00:00:00,221.5,230.99,228.77,227.11,9144.8827744208
2015-02-05 00:00:00,215,228.9,227.11,216.76,7405.3015289305
2015-02-06 00:00:00,216.03,226.64,216.84,223.2,5693.9650666404
2015-02-07 00:00:00,222.67,230.5,223.2,229,4099.9989077302
2015-02-08 00:00:00,220,231.6,229.16,223.99,4294.5951908101
2015-02-09 00:00:00,216.45,225,224.01,221.1,6549.9890682103
2015-02-10 00:00:00,215,222,221.13,220.87,5397.8797521302
2015-02-11 00:00:00,217.46,223.61,221.07,219.81,8986.8481769705
2015-02-12 00:00:00,218,224.61,219.96,223.21,7833.4787598902
2015-02-13 00:00:00,221.55,242.36,223.2,236.49,15257.970993001
2015-02-14 00:00:00,236.08,259.98,236.92,256.66,15320.096153001
2015-02-15 00:00:00,228,267.86,256.66,235.54,16943.7794117
2015-02-16 00:00:00,229.6,241,235.54,234.68,10505.84218244
2015-02-17 00:00:00,233,248,234.41,244.82,16806.65257222
2015-02-18 00:00:00,231.93,246,244.9,237.49,12926.153137641
2015-02-19 00:00:00,235.58,245,237.49,240.9,9467.6985815808
2015-02-20 00:00:00,239.99,248.32,241.11,245.34,11201.812025651
2015-02-21 00:00:00,244,248.43,245.34,245.99,6213.9505030403
2015-02-22 00:00:00,234.01,247.48,245.72,236.83,8280.0047210004
2015-02-23 00:00:00,232,240.97,236.83,239.49,10028.2063282
