Unnamed: 0,article,date,label
0,"Missing Mt Gox Bitcoins Likely an Inside Job, Say Japanese Police",1420092000,0
1,California Governor Approves Bitcoin for Transactions,1420178400,1
2,Are Bitcoin Zero Confirmation Transactions Safe?,1420178400,0
3,Will Bitcoin Collapse in 2015? – Financial Times,1420178400,0
4,Cody Wilson Speaks Out on Campaign to Dismantle Bitcoin ...,1420178400,1
5,2015 Bitcoin Forecast: Industry Insiders Predict What's Next for the ...,1420092000,-1
6,Study: How Bitcoin Could Transform Personal Insurance,1420178400,1
7,How My Mom Got Hacked,1420092000,0
8,BitOasis Aims to Change how People Transact in the Middle East ...,1420178400,1
9,Taking the Block Chain Out of Bitcoin in 2015,1420178400,-1
10,Police suspect Mt. Gox Bitcoin theft was an inside job,1420178400,0
11,"Bitcoin theft from MtGox was an 'inside job', according to police",1420178400,0
12,Bitcoin Price Falls Below $300,1420264800,0
17,"Bitcoin Mining Pools Attack When Threatened, Study Finds",1420178400,-1
18,How to Avoid Bitcoin Scams in 2015,1420264800,-1
20,Why Some Bitcoin Exchanges Might Die in 2015,1420178400,0
23,2015 will be a make-or-break year for Bitcoin,1420351200,-1
24,Bitcoin Messenger App GetGems Raises $400k From Waze Investor,1420264800,1
25,Fake Transaction Chains Double 2014 Bitcoin Volume,1420351200,-1
26,LazyCoins Launching LazyPay Mobile Wallet and Merchant App for ...,1420351200,1
28,StealMyWallet.com Proves Good Encryption Keeps Bitcoin Wallets ...,1420351200,1
29,SpaceBIT Introduces First Ever Space Banking Program For Bitcoin ...,1420264800,1
30,SpaceBit To Build Cryptocurrency Bank in Space,1420351200,1
31,Chat Logs Allegedly Show Bter Creating and Pumping Its Own Coin,1420351200,0
32,How the Government Is 'Hacking' Tor (Op-Ed),1420351200,-1
34,Is Falling Bitcoin Value a Cause for Concern?,1420351200,0
37,AB 129 – California Legally Approves the Use of Bitcoin,1420437600,1
38,ChangeTip Brings Bitcoin Tipping to Social Media Cynics,1420437600,1
40,6 (More) Bitcoin Myths Debunked,1420437600,1
41,What I've learned after my Mom got hacked (and her data held for ...,1420351200,0
42,Review: Ravenbit Keeps Physical Bitcoin Meme Alive,1420437600,-1
45,China's rallying stock market could be the cause of this weekend's ...,1420437600,-1
46,Hackers steal $5 million from major bitcoin exchange,1420437600,0
47,"Bitstamp Reports Hot Wallet Issue, Tells Customers to Not Deposit ...",1420437600,0
48,Major Bitcoin Exchange Bitstamp Goes Offline After Possible Hack,1420351200,0
49,"Bitstamp exchange hacked, $5M worth of bitcoin stolen",1420351200,0
50,Bitcoin exchange Bitstamp claims hack siphoned up to $5.2 million,1420524000,0
51,BitPay Releases Multisig Wallet App for Windows Phone,1420524000,1
52,US Treasury May Consider Bitcoin Industry Concerns Over Banking ...,1420437600,1
53,Coin Center Unveils Bitcoin-Focused Public Policy Website,1420524000,1
56,How Digital Money (Bitcoin) Will Change The World,1420524000,1
57,Gliph Marketplace Launches as 'Craigslist for Bitcoin',1420524000,1
58,BitMEX Launches Bitcoin Volatility Futures Contracts,1420524000,1
60,Hackers steal $5 million in attack on European bitcoin exchange,1420524000,0
62,Bitcoin exchange Bitstamp halted after security breach,1420437600,0
65,Bitcoin wallet Circle launches NFC powered tap-to-pay in its mobile ...,1420524000,1
66,US Treasury to Hear Bitcoin Industry Issues Related to Banking,1420437600,1
68,How to Launder Stolen Bitcoins,1420524000,-1
69,Millionaire 'Bitcoin Jesus' denied entry to the US,1420524000,-1
71,Bit by Bit (By Bitcoin),1420524000,-1
72,ICE3x Launches Nigeria's First Bitcoin Exchange,1420524000,1
75,Why Are So Few Black People Using Bitcoin?,1420610400,-1
79,'Backbone' Of Bitcoin Bitstamp Robbed Of $5.2m In Virtual Currency,1420524000,0
80,Bitcoin slowly making its way into Maine businesses,1420610400,1
81,A Great Reason to Not Buy Bitcoin: $5 Million Stolen Without a Trace,1420610400,0
