Unnamed: 0,Unnamed: 0.1,article,date,label
0,0,Bitcoin tops $1000 for first time in three years as 2017 trading begins,1483336800,1
1,1,Bitcoin Magazine's Top 6 Business Stories of 2016,1483336800,1
2,2,Bitcoin Price Technical Analysis for 01/02/2017 – Starting the Year ...,1483336800,-1
3,3,Scammers demanding gift cards or bitcoin,1483336800,0
4,4,Remitano P2P Bitcoin Exchange Eliminates Dependency on ...,1483336800,-1
5,5,Vitalik Buterin: Bitcoin More Likely Than Ethereum to Split in 2017,1483336800,1
6,6,Why There's Still Hope for Bitcoin Remittance Companies,1483336800,1
7,7,Remitano P2P Bitcoin Exchange is Completely Independent from ...,1483336800,-1
8,8,Colombia Declares Bitcoin and Other Digital Currencies Illegal,1483250400,0
9,9,Rassah of Mycelium: What ETF Will Bring to Bitcoin Table,1483250400,1
10,10,Bitcoin jumps above $1000 for first time in three years,1483336800,1
11,11,Bitcoin hits milestone of $1000 as 2017 begins,1483336800,1
12,12,"With Bitcoin At $1000, One Thing That Could Still Send It ...",1483336800,0
13,13,"Bitcoin breaks $1000 level, highest in more than 3 years",1483250400,1
14,14,Bitcoin tops $1000 amid growing acceptance of cyber currency,1483336800,1
15,15,Bitcoin Price Rally Impacts Growth of Other Altcoins,1483250400,-1
16,16,Op Ed: The New Age of Blockchain Entrepreneurship,1483250400,1
17,17,Remitano Bitcoin P2P leaves out the banks to help secure your money,1483250400,-1
19,19,Scammers in Australia Demand Bitcoin and Gift Cards from ...,1483336800,0
20,20,What Experts Are Predicting for 2017 in Bitcoin and Blockchain Tech,1483336800,-1
21,21,Microsoft to Add Bitcoin Support to Excel Later This Year,1483423200,1
22,22,Bitcoin Magazine's Top 6 News Stories of 2016,1483336800,-1
23,23,Current Bitcoin Price Trend Hints At Future Yuan Devaluation,1483423200,1
24,24,Coinbase's IRS Dispute Isn't Just About Bitcoin,1483423200,-1
26,26,Bitcoin Price Technical Analysis for 01/03/2017 – Closing in on $1100,1483423200,-1
27,27,Coinbase Customer Responds Anew To IRS Efforts To Identify ...,1483336800,0
29,29,Bitcoin Was The Best-Performing Currency of 2016,1483423200,1
30,30,"Bitcoin Price Soars, Fueled by Speculation and Global Currency ...",1483423200,1
32,32,Why bitcoin just had an amazing year,1483423200,1
33,33,"Scammers demand iTunes giftcards, bitcoin as loot",1483423200,0
35,35,Microsoft to Add Bitcoin Support to Excel on Desktop and Mobile,1483336800,1
36,36,IRS Escalates Hunt For Bitcoin Users In Coinbase Summons Case,1483336800,0
38,38,Bitcoin Hits All-Time High as Currency Controls Drive Fear,1483509600,1
41,41,Final rule on proposed bitcoin ETF to come in March,1483509600,-1
42,42,Why 2017 Will Prove 'Blockchain' Was a Bad Idea,1483423200,0
44,44,Web-exposed MongoDB installs wiped by bitcoin ransoming script ...,1483423200,0
45,45,Bitcoin's Market Cap Crosses $17.5 Billion,1483423200,1
48,48,Why Bitcoin's $1000 Value Doesn't Matter,1483509600,0
49,49,Bitcoin digital currency hits three-year high of $1000,1483509600,1
50,50,Bitcoin is going bananas,1483423200,1
53,53,"In 2017, DAOs Marry Blockchain and Prediction Markets to Fund ...",1483423200,-1
54,54,SEC Delays Winklevoss Bitcoin ETF Again,1483509600,0
56,56,MongoDB Databases Held for Ransom by Mysterious Attacker,1483423200,0
58,58,"Through Rally or Crash, Here's Why Bitcoin Buyers Are Nervous ...",1483596000,0
59,59,Bitcoin plunges as much as 20 percent as Chinese yuan soars,1483596000,0
60,60,Bitcoin Ends Day Above $1000 as Price Mounts Recovery,1483596000,1
61,61,Bitcoin will double to $2000 USD and More: The Tapscotts on ...,1483596000,1
62,62,We bought and sold bitcoin — here's how it works,1483596000,-1
63,63,Decision On Bitcoin ETF Coming March 11,1483596000,-1
64,64,"Inside the Crypto Castle, where young bitcoin entrepreneurs party ...",1483596000,1
65,65,"Bitcoin hits a record high, but can it rival gold as a safe haven?",1483596000,1
67,67,Bitcoin is trying to make a comeback,1483596000,1
68,68,Bitcoin lost $3 billion in market value in 40 minutes,1483596000,0
69,69,Bitcoin is becoming the new gold,1483596000,1
70,70,"Bitcoin Price Surges Past $1178, Chinese Exchanges Break All ...",1483596000,1
71,71,Hey Bitcoin... Why Are You Running So Fast?,1483596000,-1
