article,date
 Bitcoin shoots to the moon It’s now gone up past $1000USD OR $1400 AUD Get onto it now before it’s... https://tmblr.co/Z5Ow8i2GfhXFW ,2017-01-02
"""El bitcoin supera los 1.000 dólares por primera vez en 3 años"" http://wwwhatsnew.com/2017/01/02/el-bitcoin-supera-los-1-000-dolares-por-primera-vez-en-3-anos/ … #tecnología",2017-01-02
#bitcoin #miner NIB Bitmain Antminer APW3+-12-1600 PSU Power Supply ONLY Bitcoin For S9 S7… http://ift.tt/2iIUEI6 pic.twitter.com/8CsIzBY295,2017-01-02
Le Bitcoin a franchi le seuil psychologique des 1.000$ ! http://www.boursier.com/actualites/economie/le-bitcoin-a-franchi-le-seuil-psychologique-des-1-000-34197.html?google_editors_picks=true … via @Boursier_com,2017-01-02
Just went to a bitcoin atm and got bitcoins!,2017-01-02
The Times 03/ Jan/2009 Chancellor on brink of second bailout for banks: http://ift.tt/2hLDlI4  #bitcoin #btc,2017-01-02
RT BitcoinRecycle: #Bitcoin Profits #Hariness the #Digital #Domain .3BTC> entry #forex #fiat #trading #crypto #alt… https://twitter.com/i/web/status/816069158144094208 …,2017-01-02
"The latest Bitcoin Price Index is 1,018.93 USD http://www.coindesk.com/price/ pic.twitter.com/IYJXrLuc3w",2017-01-02
ビットコイン投資に全額投じたら所持金が1000円未満になったので、ビットコイン決済だけで生活することにした。 http://wp.me/p7ZLhP-dE  #bitcoin #ビットコイン,2017-01-02
Good to hear @brian_armstrong is making @coinbase a #DigitalAsset company (not just a #Bitcoin one) & more in 2017 https://blog.coinbase.com/completing-our-transition-to-becoming-a-digital-currency-company-not-just-a-bitcoin-company-6bcc44ca40ee?source=linkShare-9404d05f9d44-1483401316 …,2017-01-02
The Bitcoin Constellation Is Bigger Than Most Realize https://news.bitcoin.com/the-bitcoin-constellation-is-bigger-than-most-realize/ … via @BTCTN,2017-01-02
"Whatever 2017 holds, the one thing to expect is that Bitcoin will continue to prove conventional wisdom wrong https://twitter.com/Datavetaren/status/815966592668495872 …",2017-01-02
Chinese girlfriend comes in frantic. Bitcoin is hitting official state news agencies and forum discussions blowing up as the yuan dives.,2017-01-02
Bitcoin in 2016 » Brave New Coin - Brave New Coin http://ift.tt/2iwNJ4S ,2017-01-02
"Scammers demand iTunes giftcards, bitcoin as loot - The West Australian http://ift.tt/2iYck1P ",2017-01-02
