Unnamed: 0,article,date,label
0,Bitcoin soars above $1400 to all-time high,1493701200,1
1,The Surprising Reasons For Bitcoin's Rising Price,1493614800,1
2,Craig Wright's New Company is Building a Bitcoin Core Competitor,1493701200,1
3,Blockchain Beyond Bitcoin,1493614800,1
4,Bitcoin is closing in on $1500,1493614800,1
5,What Does the Future of Bitcoin Look Like?,1493701200,-1
6,"Bilur — the new virtual currency, tied to oil — takes aim at bitcoin",1493701200,0
7,"Another Billionaire Reveals Bitcoin Investment, Compares it to ...",1493701200,1
8,"21 launches Lists, for bitcoin powered 'microconsulting'",1493614800,1
9,Gnosis Tokens Double in Value After Exchange Debut,1493614800,1
10,"Bitcoin Price Can Reach $2000 This Year, Still Has Advantage: Expert",1493701200,1
11,Bitcoin is Up $60 Today And Closing in on $1500,1493614800,1
12,Bitcoin Prices Have Tripled in a Year and Just Hit a New All-Time High,1493701200,1
13,"Bitcoin Shatters All-Time High, Soars Above $1400",1493614800,1
14,Here's why Russia is opening the door to cryptocurrencies,1493614800,1
15,Blockchain to create winners and losers,1493614800,-1
16,More Billionaires Are Buying Cryptocurrencies,1493614800,1
17,Bitcoin startup 21 introduces '21.co lists' to earn money online,1493614800,1
18,"Largest Crypto Exchanges Kraken, Poloniex Start Gnosis Trading",1493701200,1
20,Help the World's Poor with a Bitcoin and Blockchain Future,1493701200,-1
21,Bitcoin Price Likely to Reach $2000 as More Serious Investors Get ...,1493701200,1
24,New virtual currency tied to oil takes aim at bitcoin,1493787600,0
26,I'll Say It Again: Ethereum Beats Bitcoin,1493787600,-1
27,LocalBitcoins User Pleads Guilty After Undercover Sting,1493701200,0
28,"Arena Music, the First Artist Friendly Streaming Platform, Now Pays ...",1493701200,1
29,Bitcoin Price Surge Due to Rise in Institutional Investors: CNBC ...,1493701200,1
31,Bitcoin Price Continues Historic Highs Toward $1500,1493701200,1
32,Altcoins Steal the Spotlight as Bitcoin Reaches New Highs,1493701200,1
33,How Bitcoin is Revolutionizing the US Sportsbook Industry,1493787600,1
35,City Moves for 3 May 2017 - who's switching jobs at Orbital Access ...,1493787600,-1
36,Nixa entrepreneur pleads guilty to unlicensed bitcoin scheme,1493787600,0
37,Bitcoin Price Continues Record-Breaking Run to Top $1500,1493874000,1
38,"Bitcoin Exchange Spreads Straddle $1600, Demeester 'Quite Sure ...",1493874000,1
39,"Bitcoin Drops $100 in One Hour, Slowing Torrid Price Growth",1493874000,0
41,Bitcoin surpasses $1500 milestone,1493874000,1
44,This Dubai firm is out to challenge bitcoin,1493874000,0
47,Bitcoin surges above $1500 to record as more investors bet on ...,1493874000,1
48,Bitcoin tops $1600 for the first time,1493787600,1
49,"Japan Finance Ministry Guides Bitcoin Exchanges, Sets Strict Rules",1493874000,0
50,Bitcoin Price Rises Over $100 in 24 Hours,1493787600,1
51,Bitcoin Price Gap Between Exchanges Shrinks a Bit Yet Remains ...,1493874000,1
52,The Champ is Here: Bitcoin,1493874000,1
53,Bitcoin plummets below $1500,1493874000,0
54,"Bitcoin Continues Record-Setting Run, SEC's Decision in Focus",1493874000,1
55,Consumer Applications and Blockchain – What Does the Future Hold?,1493787600,-1
56,"Karlin Lillington: Blockchain is less hype, more a transformative ...",1493787600,1
57,US-Based Bitcoin Exchange Coinbase Adds Litecoin As SegWit ...,1493787600,1
58,"Bitcoin Exchange Coinbase Enables Litecoin Trading, Prices Spike",1493874000,1
59,PayPal Should Buy Coinbase,1493874000,-1
61,Rise of Ethereum: A New Blockchain Juggernaut,1493787600,1
64,The Second Wave of Bitcoin Price Growth May Just Be Beginning,1493874000,1
66,Billionaire bitcoin enthusiast Tim Draper is backing a new ...,1493874000,1
67,The Death of Bitcoin,1493874000,0
69,What is Bitcoin Mining?,1493874000,-1
71,Don't Tax Bitcoin Out of Existence,1493874000,-1
72,Facebook Millionaire & NBA Franchise Owner Believes in Bitcoin,1493960400,1
75,"SEC Approves Quadruple ETFs While Mulling Bitcoin, Ethereum",1493960400,1
78,"Bitcoin Generates Over US$1bn In Trading Volume, Mainly Thanks ...",1493874000,1
79,Bitcoin ETF's IPO Doubles to $1 Bln As Price Returns to $1600,1493960400,1
80,Why Bitcoin's Value Just Hit an All-Time High,1493960400,1
81,Beyond Bitcoin – tapping into the blockchain's potential,1493874000,1
83,Is Bitcoin Anonymous?,1493874000,-1
84,"Eat, Say Cheese, Fly Away: Six Ways to Spend Your Bitcoin Around ...",1493960400,-1
85,Bitcoin is Ultimate Insurance Against Autocracy: Golden State ...,1493960400,1
91,"Bitcoin's price breaks records, yet again",1493960400,1
92,Tim Draper Will Partake In A Cryptocurrency ICO,1493960400,1
93,Florida criminals who use bitcoins could now face money ...,1493960400,0
95,Bitcoin Price Watch,1493960400,-1
97,Bitcoin Has Surged 80% In 1 Month,1493960400,1
98,Bitcoin's surge past $1500 & its welcome in Japan suggest this is not ...,1494046800,1
99,Ethereum Price “Dashes” Past $100 As Altcoins Stage Another ...,1494046800,1
100,Bitcoin Investment Trust Ups Its Proposed IPO Size to US$1bn,1494046800,1
103,Current Cryptocurrency Capital Influx Hints at Positive Bitcoin Price ...,1493960400,1
104,Tim Draper to Back Tezos Cryptocurrency ICO,1493960400,1
106,Bitcoin Price Watch,1493960400,-1
107,Bitcoin's appeal is at an all-time high,1494046800,1
108,Wipro bio attack threat: You can be a victim of bitcoin-fuelled ...,1494133200,0
111,Bitcoin Price Weekly Analysis – BTC/USD To Retarget $1700,1494133200,-1
112,Litecoin Value Increases by 700% As Politics Still Prevent Bitcoin ...,1494133200,1
113,Diana Clement: I fancy a bit of Bitcoin,1494046800,1
114,Government working to end the double taxation of Bitcoin,1494133200,1
115,Bitcoin Price Technical Analysis for 05/08/2017 – Another Bullish ...,1494133200,1
116,Major Challenges to Blockchain Mainstream Adoption: Industry View,1494046800,0
117,"Why Bitcoin, Precious Metals Should Be Partners in Crisis Portfolio ...",1494046800,-1
118,Bitcoin Price Calms Down Over the Weekend,1494133200,1
120,"Another Predicts Bitcoin's End, Is Anyone Still Keeping Count?",1494046800,0
121,This Self Upgrading Smart Contract Platform Has The Attention of ...,1494133200,-1
122,"Cheers Again, Tim: 'World Improving' Tezos ICO Gets Draper Backing",1494133200,1
123,Litecoin Price Surges to $30 as South Korea's Largest Exchange ...,1494133200,1
124,Bitcoin $78 Mln Ransom Demand Hits India's IT Giant,1494219600,0
126,Bitcoin set to go boom,1494133200,0
127,Bitcoin hits $1600 for the first time and one investor says it could ...,1494219600,1
128,Confused about blockchain? You should be,1494219600,0
129,$5 Mln Household Bills Paid in Australia Through Bitcoin Payment ...,1494133200,1
131,Bitcoin Price Calm Before the Storm?,1494133200,0
132,Study puts cryptocurrencies market at triple the size of earlier ...,1494219600,1
134,Bitcoin explained: The rising cryptocurrency and what it is used for,1494219600,-1
136,Indian IT Giant Wipro Sees $80 Million Bitcoin Demand in Bio Attack ...,1494219600,0
137,Wipro Threatened With Bio Attack – Rs 500 Cr Ransom Demand in ...,1494219600,0
140,'E-gold' bitcoin shines past $1500,1494133200,1
141,"Litecoin, Silver to Bitcoin's Gold, Now Aims at $50 Goal",1494219600,1
142,Does Blockchain Have A Place In Healthcare?,1494219600,1
143,This fintech let Australians use Bitcoin to pay $5 million worth of ...,1494219600,1
144,Billionaire Investor Sets Example Investing in Altcoin ICO,1494219600,1
145,Ripple Shoots Past Ethereum For No. 2 In Crypto Capitalization,1494133200,1
146,Bitcoin soars above $1700 as market cap adds $1 billion in just 24 ...,1494306000,1
147,Bitcoin spikes to fresh record after Fed's Kashkari speaks about ...,1494306000,1
148,"Bitcoin Price Hits All-Time High at $1733, Investors See $4000 Ahead",1494306000,1
149,Bitcoin Is Good Long Term Investment: Major Silicon Valley Startup ...,1494306000,1
